date;location;description;sun;rep;distance;scene;row;mean;sd;mode;min;max;slice
11-08-15;B;coral boulder;side;1;2;foreground;17;89,1;9,0;83;66;185;9
11-08-15;B;coral boulder;side;1;2;background;18;122,2;1,5;122;117;130;9
11-08-15;B;coral boulder;side;1;1;foreground;19;57,1;5,2;55;32;129;10
11-08-15;B;coral boulder;side;1;1;background;20;100,1;1,9;100;92;107;10
11-08-15;B;coral boulder;side;2;10;foreground;1;120,8;2,6;119;112;138;10
11-08-15;B;coral boulder;side;2;10;background;2;121,9;1,2;122;118;128;10
11-08-15;B;coral boulder;side;2;9;foreground;3;115,8;3,0;115;105;140;11
11-08-15;B;coral boulder;side;2;9;background;4;115,8;1,3;116;112;129;11
11-08-15;B;coral boulder;side;2;8;foreground;5;119,5;2,5;119;111;144;12
11-08-15;B;coral boulder;side;2;8;background;6;123,8;1,5;124;119;138;12
11-08-15;B;coral boulder;side;2;7;foreground;7;121,2;5,7;120;105;183;1
11-08-15;B;coral boulder;side;2;7;background;8;124,9;1,2;125;120;135;1
11-08-15;B;coral boulder;side;2;6;foreground;9;109,2;6,0;106;92;167;2
11-08-15;B;coral boulder;side;2;6;background;10;115,2;1,5;115;111;121;2
11-08-15;B;coral boulder;side;2;5;foreground;11;105,6;4,4;104;88;159;3
11-08-15;B;coral boulder;side;2;5;background;12;116,5;1,2;116;113;122;3
11-08-15;B;coral boulder;side;2;4;foreground;13;105,4;4,8;104;85;170;4
11-08-15;B;coral boulder;side;2;4;background;14;120,8;1,5;121;117;145;4
11-08-15;B;coral boulder;side;2;3;foreground;15;96,4;6,5;93;74;197;5
11-08-15;B;coral boulder;side;2;3;background;16;121,5;1,9;121;115;131;5
11-08-15;B;coral boulder;side;2;2;foreground;17;85,0;7,8;81;59;192;6
11-08-15;B;coral boulder;side;2;2;background;18;116,2;1,5;116;111;131;6
11-08-15;B;coral boulder;side;2;1;foreground;19;60,2;9,0;54;30;203;7
11-08-15;B;coral boulder;side;2;1;background;20;107,4;1,9;107;100;123;7
11-08-15;B;coral boulder;side;3;10;foreground;1;128,2;2,4;127;116;162;1
11-08-15;B;coral boulder;side;3;10;background;2;126,7;1,2;127;122;133;1
11-08-15;B;coral boulder;side;3;9;foreground;3;120,3;1,9;120;113;156;2
11-08-15;B;coral boulder;side;3;9;background;4;123,3;1,2;123;120;128;2
11-08-15;B;coral boulder;side;3;8;foreground;5;113,5;2,4;113;104;139;3
11-08-15;B;coral boulder;side;3;8;background;6;116,1;1,1;116;113;122;3
11-08-15;B;coral boulder;side;3;7;foreground;7;114,9;3,5;115;98;181;4
11-08-15;B;coral boulder;side;3;7;background;8;118,3;1,2;118;114;126;4
11-08-15;B;coral boulder;side;3;6;foreground;9;115,5;3,2;113;100;162;5
11-08-15;B;coral boulder;side;3;6;background;10;121,8;1,1;122;118;126;5
11-08-15;B;coral boulder;side;3;5;foreground;11;112,4;3,8;111;93;175;6
11-08-15;B;coral boulder;side;3;5;background;12;119,6;1,3;119;115;132;6
11-08-15;B;coral boulder;side;3;4;foreground;13;110,3;4,1;109;93;170;7
11-08-15;B;coral boulder;side;3;4;background;14;120,8;1,1;121;115;126;7
11-08-15;B;coral boulder;side;3;3;foreground;15;93,7;6,2;92;74;163;8
11-08-15;B;coral boulder;side;3;3;background;16;114,9;1,3;115;110;124;8
11-08-15;B;coral boulder;side;3;2;foreground;17;89,6;8,2;87;58;197;9
11-08-15;B;coral boulder;side;3;2;background;18;118,0;2,0;118;108;150;9
11-08-15;B;coral boulder;side;3;1;foreground;19;67,5;11,0;59;34;206;10
11-08-15;B;coral boulder;side;3;1;background;20;116,8;1,8;117;109;135;10
